index, uuid, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], driver_version, compute_cap
0, GPU-8f8e55a5-a9eb-eb79-bc43-807a19bcb1c1, NVIDIA H100, 97871 MiB, 116 MiB, 0 %, 580.82.07, 9.0
1, GPU-11979b85-93e3-21d3-e68f-df37b8a4c296, NVIDIA H100, 97871 MiB, 130 MiB, 0 %, 580.82.07, 9.0
2, GPU-3aa416f0-b0e5-dbfc-0613-04b3426a6c0e, NVIDIA H100, 97871 MiB, 4 MiB, 0 %, 580.82.07, 9.0
3, GPU-dd11c699-940c-55ea-ffe3-ca416a4c44f4, NVIDIA H100, 97871 MiB, 4 MiB, 0 %, 580.82.07, 9.0
4, GPU-e18b912e-7c28-47a8-4a51-e08ffe4ff95f, NVIDIA H100, 97871 MiB, 102 MiB, 0 %, 580.82.07, 9.0
5, GPU-bc3ef6aa-3227-bcfd-a031-47ca357b5693, NVIDIA H100, 97871 MiB, 108 MiB, 0 %, 580.82.07, 9.0
6, GPU-9ecef766-973c-0d6e-af08-4f5917cb1d92, NVIDIA H100, 97871 MiB, 60 MiB, 0 %, 580.82.07, 9.0
7, GPU-4e974cba-9435-d345-b9ff-d1511ec12e96, NVIDIA H100, 97871 MiB, 114 MiB, 0 %, 580.82.07, 9.0
