0 {'shape_mkn': (1, 65539, 1), 'offset': 0, 'program': 'matmul', 'status': 'pending', 'capped_parity': 0.0, 'orders': []}
         105001 function calls (104201 primitive calls) in 0.037 seconds

   Ordered by: cumulative time
   List reduced from 94 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.000    0.000    0.034    0.000 __init__.py:435(compiled_model)
      200    0.001    0.000    0.034    0.000 __init__.py:780(compiled_model)
      200    0.000    0.000    0.021    0.000 __init__.py:770(_execute_native_eager_compile_graph)
      200    0.001    0.000    0.021    0.000 _compile_trace.py:1066(execute_compile_trace_graph)
     1200    0.002    0.000    0.015    0.000 _compile_trace.py:702(_metadata_from_native_tensor)
      400    0.001    0.000    0.006    0.000 __init__.py:1209(synchronize)
      600    0.000    0.000    0.005    0.000 __init__.py:813(<genexpr>)
     2600    0.002    0.000    0.004    0.000 _compile_trace.py:94(_parse_device_metadata)
     1200    0.000    0.000    0.004    0.000 _compile_trace.py:239(_normalize_device)
     2400    0.002    0.000    0.004    0.000 _compile_trace.py:252(_normalize_shape)
      400    0.000    0.000    0.004    0.000 __init__.py:650(__init__)
      400    0.000    0.000    0.004    0.000 _utils.py:557(_get_device_index)
      200    0.000    0.000    0.004    0.000 _compile_trace.py:921(_execute_operation)
      200    0.000    0.000    0.003    0.000 _compile_trace.py:823(_materialize_graph_output)
      200    0.003    0.000    0.003    0.000 {built-in method torch_rs.torch_rs._compile_trace_binary}
      400    0.000    0.000    0.003    0.000 _utils.py:869(_get_device_index)
     1200    0.001    0.000    0.003    0.000 _compile_trace.py:719(_require_matching_metadata)
      200    0.000    0.000    0.003    0.000 _compile_trace.py:974(_expected_operation_metadata)
      400    0.000    0.000    0.003    0.000 _utils.py:843(_get_current_device_index)
     2200    0.001    0.000    0.003    0.000 _compile_trace.py:689(_validate_cuda_metadata)
      400    0.000    0.000    0.003    0.000 _utils.py:827(_get_device_attr)
     7200    0.001    0.000    0.002    0.000 _compile_trace.py:253(<genexpr>)
      200    0.001    0.000    0.002    0.000 _compile_bytecode.py:639(prepare_compile_cache_request)
      200    0.000    0.000    0.002    0.000 _compile_trace.py:592(_binary_output_metadata)
      200    0.001    0.000    0.002    0.000 _compile_trace.py:571(_matmul_output_metadata)
      200    0.001    0.000    0.002    0.000 __init__.py:747(_ensure_compile_tensor_method_guards)
     1200    0.000    0.000    0.002    0.000 _compile_trace.py:90(_cuda_device_metadata)
     2200    0.001    0.000    0.002    0.000 _compile_trace.py:301(_layout_is_contiguous)
      400    0.000    0.000    0.002    0.000 _utils.py:810(_get_available_device_type)
      400    0.000    0.000    0.001    0.000 __init__.py:169(is_available)
      200    0.000    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     4800    0.001    0.000    0.001    0.000 _compile_trace.py:256(_normalize_dimension)
      400    0.001    0.000    0.001    0.000 {built-in method torch._C._cuda_synchronize}
      400    0.000    0.000    0.001    0.000 __init__.py:165(_nvml_based_avail)
     8400    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
    11200    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
     1400    0.000    0.000    0.001    0.000 _compile_trace.py:131(__post_init__)
     1200    0.001    0.000    0.001    0.000 _compile_trace.py:37(__post_init__)
     3000    0.001    0.000    0.001    0.000 _compile_trace.py:76(__eq__)
      400    0.000    0.000    0.001    0.000 <frozen os>:808(getenv)


1 {'shape_mkn': (1, 65539, 1), 'offset': 3, 'program': 'composed', 'status': 'pending', 'capped_parity': 0.0, 'orders': []}
         169201 function calls (167801 primitive calls) in 0.070 seconds

   Ordered by: cumulative time
   List reduced from 117 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.000    0.000    0.068    0.000 __init__.py:435(compiled_model)
      200    0.001    0.000    0.068    0.000 __init__.py:780(compiled_model)
      200    0.000    0.000    0.050    0.000 __init__.py:770(_execute_native_eager_compile_graph)
      200    0.003    0.000    0.050    0.000 _compile_trace.py:1066(execute_compile_trace_graph)
     1400    0.003    0.000    0.018    0.000 _compile_trace.py:702(_metadata_from_native_tensor)
     1000    0.002    0.000    0.016    0.000 _compile_trace.py:974(_expected_operation_metadata)
      200    0.012    0.000    0.012    0.000 {built-in method torch_rs.torch_rs._compile_trace_cuda_graph}
      400    0.001    0.000    0.007    0.000 __init__.py:1209(synchronize)
     2000    0.003    0.000    0.006    0.000 _compile_trace.py:719(_require_matching_metadata)
      400    0.001    0.000    0.006    0.000 _compile_trace.py:592(_binary_output_metadata)
      200    0.001    0.000    0.006    0.000 _compile_bytecode.py:639(prepare_compile_cache_request)
     3800    0.002    0.000    0.006    0.000 _compile_trace.py:94(_parse_device_metadata)
      600    0.000    0.000    0.006    0.000 __init__.py:813(<genexpr>)
      600    0.001    0.000    0.006    0.000 _compile_trace.py:376(_elementwise_output_stride)
     1400    0.000    0.000    0.005    0.000 _compile_trace.py:239(_normalize_device)
      400    0.001    0.000    0.005    0.000 _compile_trace.py:642(_scalar_output_metadata)
     4400    0.001    0.000    0.005    0.000 _compile_trace.py:689(_validate_cuda_metadata)
      400    0.000    0.000    0.005    0.000 _compile_trace.py:823(_materialize_graph_output)
     2800    0.002    0.000    0.005    0.000 _compile_trace.py:252(_normalize_shape)
      400    0.000    0.000    0.004    0.000 __init__.py:650(__init__)
