matmul
         97875 function calls (96474 primitive calls) in 0.036 seconds

   Ordered by: cumulative time
   List reduced from 165 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5800    0.004    0.000    0.009    0.000 _compile_trace.py:94(_parse_device_metadata)
     2400    0.004    0.000    0.009    0.000 _compile_bytecode.py:315(_instruction_form)
     2400    0.001    0.000    0.009    0.000 _compile_trace.py:239(_normalize_device)
     4800    0.003    0.000    0.008    0.000 _compile_trace.py:252(_normalize_shape)
      400    0.001    0.000    0.006    0.000 _compile_trace.py:592(_binary_output_metadata)
      400    0.006    0.000    0.006    0.000 {built-in method torch_rs.torch_rs._compile_trace_binary}
     5200    0.002    0.000    0.006    0.000 _compile_trace.py:689(_validate_cuda_metadata)
      600    0.001    0.000    0.005    0.000 _compile_trace.py:376(_elementwise_output_stride)
      600    0.000    0.000    0.005    0.000 __init__.py:813(<genexpr>)
      400    0.001    0.000    0.005    0.000 _compile_trace.py:642(_scalar_output_metadata)
    36800    0.004    0.000    0.005    0.000 _compile_bytecode.py:130(matches)
    13600    0.002    0.000    0.004    0.000 _compile_trace.py:253(<genexpr>)
     5400    0.003    0.000    0.004    0.000 _compile_trace.py:301(_layout_is_contiguous)
      200    0.000    0.000    0.004    0.000 __init__.py:1209(synchronize)
     2400    0.001    0.000    0.004    0.000 _compile_trace.py:90(_cuda_device_metadata)
      400    0.004    0.000    0.004    0.000 {built-in method torch_rs.torch_rs._compile_trace_scalar}
      200    0.000    0.000    0.004    0.000 _compile_trace.py:823(_materialize_graph_output)
     5200    0.003    0.000    0.003    0.000 dis.py:623(_unpack_opargs)
      200    0.000    0.000    0.003    0.000 _compile_bytecode.py:498(_global_cache_dependencies_for_loads)
      200    0.000    0.000    0.003    0.000 _compile_bytecode.py:431(_resolve_live_global_dependency)
      200    0.001    0.000    0.003    0.000 dis.py:647(findlabels)
     2600    0.001    0.000    0.003    0.000 {method 'get' of 'dict' objects}


